token,n,logprob_0
waste,674,-8.538946553413881
bit,3342,-6.937851955170848
sexuality,85,-10.609525407835871
read,7596,-6.116799592394011
diatribe,34,-11.525816139710026
absolute,235,-9.59259115018203
history,6377,-6.2917236180109155
planet,375,-9.125250638355777
umberto,5,-13.442738751892087
refer,3494,-6.893374173632186
lunacy,10,-12.749591571332141
render,416,-9.021491404064925
wikipedia,39048,-4.479629726759204
fringe,446,-8.951857712306124
idiot,178,-9.870393114034103
play,2539,-7.212651082621509
dw,7,-13.106266515270875
unreadable,43,-11.290976548632624
beam,46,-11.223535267837093
find,4948,-6.545437930813809
heavy,326,-9.26527928295948
sense,2425,-7.258589860954604
abstraction,17,-12.218963320269971
article,69543,-3.902476119056384
correct,3512,-6.88823570957118
liner,37,-11.441258751681962
explain,4830,-6.569574917679569
interim,51,-11.120351031601862
stab,84,-10.621359865482875
tonight,212,-9.695590389654175
business,1076,-8.071170923604457
suppose,1613,-7.666325586200979
thankful,43,-11.290976548632624
wikis,290,-9.382295741345668
spirit,385,-9.098933330038403
lament,9,-12.854952086989968
pet,125,-10.223862927023886
pope,230,-9.614097355402992
leo,50,-11.140153658898042
haunt,13,-12.48722730686465
sleep,171,-9.910513107823528
trouble,799,-8.368815718559913
dream,265,-9.472446838339966
nest,59,-10.974639220420467
card,88562,-3.660718513639505
feb,169,-9.922277949403114
utc,3791,-6.811791548809852
fed,117,-10.290002729528432
meeting,338,-9.229130768843168
japanese,724,-8.46738527194047
college,924,-8.223464592684504
lecturer,24,-11.874122833978241
friend,1786,-7.564442902889743
mine,908,-8.240932285724893
greet,68,-10.83266895915008
question,11097,-5.737746583825624
nonsensical,61,-10.941302800152876
name,3775,-6.816021002643063
dia,37,-11.441258751681962
call,6805,-6.226763749240621
countrys,60,-10.957832102104087
emperor,163,-9.958426463519425
feel,5979,-6.356168055445283
basil,10,-12.749591571332141
fawlty,2,-14.359029483766243
mention,6793,-6.228528715134885
war,5329,-6.471257782029405
japan,563,-8.718897036186497
hit,937,-8.209493382087766
level,1556,-7.7023029595878505
absurdity,35,-11.496828602836773
