token,n.x,n.y,freq,interest
to your,7,2556,0.041895218222483224,0.4581047817775168
i can,79,10723,0.1052510075626302,0.39474899243736983
with the,55,3814,0.1871558981280858,0.3128441018719142
your business,37,4649,0.11274675080951443,0.38725324919048554
i think,6,4458,0.021037375378804516,0.4789626246211955
that you,66,5367,0.1641228507351109,0.3358771492648891
you have,49,9283,0.07772858084322147,0.4222714191567785
have an,73,1635,0.4161895806801005,0.08381041931989952
business or,34,221,0.7106824925816023,0.21068249258160232
i am,67,18379,0.05500434474851019,0.4449956552514898
to be,68,6104,0.15101162769133764,0.34898837230866236
you are,119,10102,0.15830928648201276,0.34169071351798724
you will,34,2253,0.1941675807143879,0.3058324192856121
will be,84,5462,0.19714252116650988,0.3028574788334901
so we,5,745,0.09678722974338251,0.4032127702566175
we can,39,5127,0.1083013026766614,0.3916986973233386
to have,72,3518,0.2462935984231725,0.2537064015768275
have a,32,10064,0.0483155134153722,0.4516844865846278
how are,5,1057,0.07022430728632165,0.4297756927136783
are you,6,4510,0.02079986104476964,0.47920013895523034
thanks for,5,4322,0.01813638256786945,0.4818636174321306
contact me,59,1139,0.4526757540324518,0.047324245967548195
thank you,113,11939,0.13128157614535152,0.3687184238546485
you for,39,5442,0.10267614226589938,0.3973238577341006
i will,77,6882,0.15156795141014942,0.34843204858985055
if you,76,13658,0.08159697317458041,0.4184030268254196
of a,34,2145,0.20196934371744632,0.29803065628255365
would be,34,8500,0.060032585537034715,0.4399674144629653
get a,35,1620,0.2564828272011015,0.2435171727988985
for your,41,6907,0.08657300671371705,0.41342699328628296
more information,128,443,0.8218546419667032,0.3218546419667032
i would,76,11119,0.09839610350997637,0.40160389649002365
would like,116,5458,0.25336519169736993,0.24663480830263007
like to,115,7065,0.20628382047297172,0.2937161795270283
do you,14,4272,0.04972342918155799,0.450276570818442
you can,34,7979,0.06370278812153832,0.4362972118784617
as well,31,3340,0.12906674547366773,0.3709332545263323
for example,33,569,0.4807920430696232,0.0192079569303768
this would,13,349,0.3729412469305863,0.12705875306941372
the right,13,2063,0.09141623970521306,0.40858376029478694
business and,31,3129,0.13658146230189755,0.36341853769810245
to help,86,7446,0.15569935065425927,0.34430064934574073
in your,72,2399,0.32395874429352417,0.17604125570647583
build a,13,754,0.21586300135196032,0.28413699864803965
your profile,124,3977,0.33236712813223956,0.16763287186776044
profile and,124,2238,0.46940001264462294,0.030599987355377056
looking for,13,4258,0.046481596213993,0.453518403786007
i have,35,14243,0.03775433223361971,0.4622456677663803
that i'm,31,378,0.5669937760128299,0.06699377601282985
interested in,33,3146,0.14345612458820006,0.35654387541179994
how's it,159,47,0.9818231039950498,0.4818231039950498
it going,159,123,0.953788931885637,0.45378893188563696
going i'm,127,31,0.9849424412674254,0.48494244126742536
director of,159,128,0.9520005999925001,0.4520005999925001
of grants,127,15,0.992657017443663,0.49265701744366297
i came,126,651,0.7555205047318613,0.2555205047318613
came across,126,620,0.764419788737746,0.26441978873774596
across your,126,657,0.7538219424460432,0.25382194244604317
and decided,126,58,0.9719779688858827,0.4719779688858827
decided to,126,573,0.7783194057567318,0.27831940575673175
to contact,168,731,0.7858440264838578,0.28584402648385776
mentoring you,126,61,0.9705712080277885,0.4705712080277885
you and,127,2742,0.42512911183635815,0.07487088816364185
and securing,127,6,0.9970498090570863,0.4970498090570863
securing a,126,16,0.9921096755104053,0.4921096755104053
a fast,126,62,0.9701031922075417,0.4701031922075417
business grant,94,5,0.9966796529130513,0.4966796529130513
for you,126,4822,0.29438965143843837,0.20561034856156163
you through,127,175,0.9205544542469318,0.42055445424693183
through our,127,94,0.9556972962782586,0.4556972962782586
our organization,127,40,0.9806554575790305,0.4806554575790305
kindly contact,128,13,0.9936792972675116,0.4936792972675116
contact us,129,33,0.9842308978831175,0.48423089788311746
us via,127,7,0.9965598021067116,0.4965598021067116
gmail.com for,157,8,0.9968187903450287,0.49681879034502874
for more,157,388,0.8659650173301245,0.36596501733012454
information on,127,256,0.8879044852801659,0.38790448528016586
business grants,128,7,0.9965865869119989,0.49658658691199886
grants and,127,37,0.9820802996303053,0.4820802996303053
and mentorship,127,60,0.9712611562594797,0.47126115625947973
mentorship and,94,39,0.9746731318728894,0.4746731318728894
and grants,94,9,0.9940392087601555,0.4940392087601555
regards paul,11,26,0.8710530666225823,0.3710530666225823
regards chris,9,98,0.5945386843194043,0.09453868431940426
regards david,10,49,0.7651757188498403,0.26517571884984026
regards samuel,9,8,0.9472643375082399,0.4472643375082399
hi there,10,254,0.3859790491539081,0.11402095084609187
we would,42,551,0.5489521938441388,0.04895219384413885
your message,6,769,0.11077705827937094,0.38922294172062905
organization we,33,7,0.9868889305113316,0.48688893051133164
can provide,33,574,0.4786084112998456,0.021391588700154396
funding for,33,139,0.7912599489412825,0.2912599489412825
your current,33,443,0.5432518816372821,0.04325188163728211
current business,33,184,0.7411731607821072,0.24117316078210715
yet to,34,137,0.7984898999803883,0.29848989998038833
be established,33,7,0.9868889305113316,0.48688893051133164
established business,33,32,0.942744677044194,0.44274467704419396
business kindly,33,15,0.9723196161653441,0.4723196161653441
an email,35,812,0.4076595744680851,0.0923404255319149
from you,7,5171,0.021156843320734715,0.4788431566792653
with you,121,5779,0.2505479209264727,0.2494520790735273
you i,72,2651,0.3024785560174709,0.19752144398252908
i hope,71,3917,0.22445369887604857,0.2755463011239514
hope i,71,232,0.8301154531475018,0.3301154531475018
can trust,71,17,0.9852255279701034,0.48522552797010343
trust you,71,85,0.9302497333078039,0.4302497333078039
i needs,71,9,0.9921234575104292,0.4921234575104292
someone to,71,643,0.638079513686936,0.13807951368693605
to trust,71,43,0.9634550553840052,0.4634550553840052
trust i,71,17,0.9852255279701034,0.48522552797010343
i need,72,4269,0.21215812202413908,0.2878418779758609
need your,72,528,0.6852646638054363,0.18526466380543627
your assistance,71,201,0.8493968380828691,0.34939683808286914
assistance to,71,154,0.8804007351989438,0.3804007351989438
help me,71,4403,0.2047513832112174,0.29524861678878256
receive my,71,38,0.9675666448547612,0.4675666448547612
funds the,71,5,0.9956087707485582,0.49560877074855825
for investment,71,51,0.9569487042404119,0.4569487042404119
investment in,71,38,0.9675666448547612,0.4675666448547612
your country,71,93,0.9241827223565858,0.42418272235658583
country please,71,7,0.9938630585347322,0.4938630585347322
please if,72,29,0.975394535890039,0.475394535890039
are interested,71,957,0.5422439771042269,0.04224397710422689
reply to,71,104,0.9159686498424412,0.4159686498424412
to enable,72,48,0.9599198396793588,0.4599198396793588
give you,72,1555,0.4250536123641204,0.07494638763587957
you more,72,285,0.8013383521539105,0.30133835215391047
more details,73,384,0.7521887839611073,0.25218878396110733
details at,71,6,0.9947351487320483,0.49473514873204827
yahoo.com thank,73,11,0.9906507635209791,0.49065076352097914
your mail,5,64,0.5550405561993047,0.0550405561993047
from micromentor,32,52,0.9076267171956418,0.4076267171956418
micromentor we,32,9,0.9826900884728811,0.4826900884728811
to inform,73,36,0.9700391155990791,0.47003911559907907
inform you,41,39,0.9437743284155894,0.4437743284155894
you that,41,368,0.6401447244043157,0.1401447244043157
that our,41,106,0.8606424470835707,0.36064244708357074
partnership with,41,103,0.8640503321747547,0.3640503321747547
has you,41,6,0.9909178061456179,0.49091780614561786
you listed,41,37,0.9465034459492023,0.4465034459492023
listed as,41,13,0.9805282340606121,0.48052823406061207
as the,41,871,0.42908955843474844,0.07091044156525156
the top,41,295,0.6893537856716628,0.18935378567166283
of an,41,339,0.658827870777282,0.158827870777282
us dollars,41,7,0.9894201219204998,0.4894201219204998
further information,41,34,0.9506268454426642,0.4506268454426642
teamed up,41,5,0.9924200313305371,0.49242003133053713
up with,41,1225,0.3482771462519285,0.15172285374807148
the worlds,41,12,0.9819990999549977,0.4819990999549977
to kickstart,41,10,0.9849541100356086,0.4849541100356086
a yearly,41,6,0.9909178061456179,0.49091780614561786
