token,n,logprob
services,53.0,-3.100432193708155
europe.com,39.0,-3.40716246113063
quote,44.0,-3.2865344733420154
accomplices,29.0,-3.7034282772738027
earned,39.0,-3.40716246113063
listed,44.0,-3.2865344733420154
instant,39.0,-3.40716246113063
european,39.0,-3.40716246113063
partner,44.0,-3.2865344733420154
6.5m,72.0,-2.7940579882442216
grant,129.0,-2.2109117028986045
director,167.0,-1.9527302948435217
cash,91.0,-2.5598646007434267
nenitavilaran,73.0,-2.7802646661118855
customer,39.0,-3.40716246113063
top,44.0,-3.2865344733420154
calculated,53.0,-3.100432193708155
esteem,39.0,-3.40716246113063
ideal,11.0,-4.672828834461907
reach,12.0,-4.5858174574722765
richard,11.0,-4.672828834461907
winning,44.0,-3.2865344733420154
paxfuleu,39.0,-3.40716246113063
receive,73.0,-2.7802646661118855
"1,000,000",44.0,-3.2865344733420154
partners,12.0,-4.5858174574722765
return,11.0,-4.672828834461907
theodore,20.0,-4.074991833706286
provide,50.0,-3.1587011018321305
based,40.0,-3.38184465314634
mecr,44.0,-3.2865344733420154
private,41.0,-3.357152040555969
selling,40.0,-3.38184465314634
development,39.0,-3.40716246113063
ready,11.0,-4.672828834461907
invest,53.0,-3.100432193708155
million,44.0,-3.2865344733420154
country,72.0,-2.7940579882442216
note,71.0,-2.8080442302189614
assistance,73.0,-2.7802646661118855
investor,86.0,-2.616376811006769
kickstart,44.0,-3.2865344733420154
fit,11.0,-4.672828834461907
specially,44.0,-3.2865344733420154
chance,33.0,-3.5742165457937967
flow,39.0,-3.40716246113063
prize,44.0,-3.2865344733420154
teamed,44.0,-3.2865344733420154
claims,44.0,-3.2865344733420154
wondering,11.0,-4.672828834461907
100,39.0,-3.40716246113063
potential,11.0,-4.672828834461907
conversion,39.0,-3.40716246113063
creativity,11.0,-4.672828834461907
build,13.0,-4.50577474979874
astonishing,44.0,-3.2865344733420154
gmail,53.0,-3.100432193708155
bigler,7.0,-5.124813958204963
user,47.0,-3.220576505550218
biggest,45.0,-3.264061617489957
resources,11.0,-4.672828834461907
giftcards,39.0,-3.40716246113063
earn,39.0,-3.40716246113063
dan,8.0,-4.991282565580441
minimum,40.0,-3.38184465314634
sponsorship,33.0,-3.5742165457937967
reference,45.0,-3.264061617489957
foundation,13.0,-4.50577474979874
current,38.0,-3.433137947533891
department,171.0,-1.9290605507576168
requirement,39.0,-3.40716246113063
fast,128.0,-2.2186938433406596
208,39.0,-3.40716246113063
pahsami,14.0,-4.4316667776450185
idea,35.0,-3.515376045770863
helmers,42.0,-3.3330544889769085
junjin015,53.0,-3.100432193708155
notice,36.0,-3.4872051688041665
profitable,53.0,-3.100432193708155
double,39.0,-3.40716246113063
grantstarteam,132.0,-2.187922184673906
continuous,33.0,-3.5742165457937967
project,15.0,-4.362673906158067
lottery,44.0,-3.2865344733420154
american,39.0,-3.40716246113063
keen,53.0,-3.100432193708155
limited,53.0,-3.100432193708155
nenita,72.0,-2.7940579882442216
usa,130.0,-2.2031896568046943
paul,11.0,-4.672828834461907
email,188.0,-1.8342821444303277
proposal,55.0,-3.0633909220278057
converts,39.0,-3.40716246113063
yahoo.com,73.0,-2.7802646661118855
data,33.0,-3.5742165457937967
exchange,39.0,-3.40716246113063
website,6.0,-5.278964638032222
profile,125.0,-2.242410369957976
age,39.0,-3.40716246113063
retains,39.0,-3.40716246113063
6280974,44.0,-3.2865344733420154
ahead,11.0,-4.672828834461907
lianjinjun990,35.0,-3.515376045770863
jodie,39.0,-3.40716246113063
albert,9.0,-4.873499529924057
silent,33.0,-3.5742165457937967
remember,44.0,-3.2865344733420154
recommendations,33.0,-3.5742165457937967
major,39.0,-3.40716246113063
investments,72.0,-2.7940579882442216
worlds,44.0,-3.2865344733420154
deal,53.0,-3.100432193708155
lewis,19.0,-4.126285128093836
maximum,39.0,-3.40716246113063
chris,11.0,-4.672828834461907
users,41.0,-3.357152040555969
success,15.0,-4.362673906158067
financier.in,53.0,-3.100432193708155
enable,72.0,-2.7940579882442216
opportunities,39.0,-3.40716246113063
property,53.0,-3.100432193708155
trust,124.0,-2.25044254165524
information,175.0,-1.9059381333367627
lacina,10.0,-4.768139014266231
genuine,33.0,-3.5742165457937967
mix,11.0,-4.672828834461907
independently,53.0,-3.100432193708155
plan,59.0,-2.993186663354557
america,44.0,-3.2865344733420154
international,92.0,-2.5489355302112364
day,40.0,-3.38184465314634
choosing,39.0,-3.40716246113063
investing,53.0,-3.100432193708155
inform,82.0,-2.6640048599960235
fixed,53.0,-3.100432193708155
venture,85.0,-2.6280728507699602
madam,72.0,-2.7940579882442216
profit,39.0,-3.40716246113063
lucky,45.0,-3.264061617489957
